_id,objectType,broadPeriod,description,inscription,mintName,district,parish,lat,lng,fromDate,toDate,imageURL,discoveryMethod,subsequently
ObjectId(57da611885c5eb0da62cb3ab),COIN,IRON AGE,"An Iron Age copper-alloy unit of Tasciovanus 'Dias Centaur' type. ABC 2748, BMC 1728-1735, VA 1882.1.",,,Windsor and Maidenhead,White Waltham,51.48557401,-0.77723412,-25,,https://finds.org.uk/images/dwilliams/medium/B15987.JPG,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3ac),CLAY PIPE (SMOKING),POST MEDIEVAL,"An incomplete clay pipe of post-medieval date, AD.1640-1670. All that remains of the pipe is the incomplete bowl which is small and bulbous with an incised circumferential line around the rim. There is a round spurred foot beneath the bowl with no discernable makers mark and the tube has been lost to an old and worn break. The circular hole through the tube is slightly off-centre and measures 2.88 mm in diameter and would suggest a rough date of c.1640-1670 AD. Pipes such as this are an early form in the typology of clay pipes and would generally date from the middle of the 17th century. The pipe is 48.43 mm long, 20.63 mm in diameter at widest point and 17.69 mm at the mouth and weighs 11.0 g.",,,Rother,,,,1640,,https://finds.org.uk/images/alancharman67/medium/PUBLICB783D6.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3ad),CLAY PIPE (SMOKING),POST MEDIEVAL,"An incomplete clay pipe of post-medieval date, AD.1640-1670. All that remains of the pipe is the complete bowl which is small and bulbous with an incised circumferential line around the rim. There is a round spurred foot beneath the bowl with no discernable makers mark and the tube has been lost to an old and worn break. The circular hole through the tube is slightly off-centre and measures 2.97 mm in diameter and would suggest a rough date of c.1640-1670 AD. Pipes such as this are an early form in the typology of clay pipes and would generally date from the middle of the 17th century. The pipe is 40.44 mm long, 19.01 mm in diameter at widest point and 14.96 mm at the mouth and weighs 8.9 g.",,,Rother,,,,1640,,https://finds.org.uk/images/alancharman67/medium/PUBLICB7581C.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3ae),PIPE TAMPER,POST MEDIEVAL,"Copper alloy pipe tamper. Cast baluster shaped handle with a flat discoid tamper at its end; the other end ot the handle is lost. Suggested date: Post-Medieval, 1700-1800.

Length: 31.2mm, Diameter: 14.4mm, Weight: 8.79gms.",,,Colchester,,,,1700,,https://finds.org.uk/images/mforeman/medium/NLM30204.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3af),CLAY PIPE (SMOKING),POST MEDIEVAL,"A fragment of a post medieval clay pipe, dating to the period c.AD 1600-1700. The fragment consists of part of the stem. It has a worn break at one end and at the other it starts to expand into the bowl before terminating in a worn break. A makers mark is visible on the heel in the form of a lozenge with an inset sixteen pointed star. It is cream in colour.

The pipe measures 36.16mm in length, 13.76mm in width at its widest and 8.76mm at the stem terminus. It weighs 4g.

Cf. Leach, P, 1984, p. 148, nos. 56 &amp; 57.

Oswald, 1975 p.35, fig. 2.",,,West Somerset,,,,1600,,https://finds.org.uk/images/denisewilding1/medium/SOM8BA2D1.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b0),KEY (LOCKING),MEDIEVAL,"A complete copper alloy medieval casket key. The key has a circular bow, oval pipe stem and a simple bit. The key is similar to No. 534, 544 in Read (2001). Metal Artefacts of Antiquity: A Catalogue of Small Finds from Specific Areas of the United Kingdom. Volume 1. Portcullis (Somerset). Keys of this type date from 12th to 14th century. The length is 48mm, the width is 12mm. Similar to BUC-BD8E33, SUSS-199474 and WILT-650B17.The length is 48mm, the width is 12mm",,,North Kesteven,Sleaford,52.99185416,-0.42225014,1100,,https://finds.org.uk/images/snoon/medium/LANCUM4ED4F8.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b1),PIPE TAMPER,POST MEDIEVAL,"Complete Post Medieval wooden pipe tamper with a faceted shaft and the head of a stylised horse. Made from dark hard wood, the shaft of the tamper has been carved to have alternating concave facets. This tapers slightly from the top end of the tamper which has a collar decoated with diagonal stripes and then a stylised animal head, possibly a horse or a lion. The head has incised lines to depict its features and diagonal incisions depicting hair or a mane. It is not truly symmetrical, having an off center dividing line.

Length: 65.51mm, Width: 9.25mm, Weight: 7.39g",,,City and County of the City of London,Vintry,51.5035277,-0.09955492,,,https://finds.org.uk/images/edwood/medium/TamperLONE68B98.jpg,Fieldwalking,Returned to finder
ObjectId(57da611885c5eb0da62cb3b2),PIPE TAMPER,MEDIEVAL,"A fragment of copper-alloy probably a Victorian coat hook that would have been attached to the wall at the ""broken/abraded"" end. Others on the Database. NLM-8C90D7NLM-A36D62",,,Selby,Church Fenton,53.81778583,-1.22683947,1800,,https://finds.org.uk/images/snoon/medium/LANCUME3BBE5.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b3),FIGURINE,ROMAN,"Incomplete miniature Roman white pipe clay figurine of an  archer, possibly female. Figurine is missing its head and feet and possibly depicts Diana, Cupid or a local hunting deity. It is similar in style to the common Venus figurines that are found throughout Roman Britain. The archer is facing left with his bow drawn with arrow nocked, she wears a side quiver by her left leg suspended on a baldric from across his right shoulder. There is a mould line running down both sides of the figure where it has been produced, probably as part of a large batch. Figure is white in colour with patches of staining from its river context.

Height: 60.81mm, Width: 29.78mm, Weight: 17.51g",,,City and County of the City of London,Dowgate,51.5035277,-0.09955492,,,https://finds.org.uk/images/edwood/medium/figureLON799A6C.jpg,Fieldwalking,Returned to finder
ObjectId(57da611885c5eb0da62cb3b4),PIPE TAMPER,POST MEDIEVAL,"An incomplete copper alloy signet seal ring combined with a pipe tamper. The finger ring element has a flat oval bezel. The bezel is engraved with a shallow and worn monogram which cannot be deciphered. The hoop is oval in cross-section and the remains of the pipe tamper projects from the apex of the hoop. The pipe tamper is integral to the hoop.

The pipe tamper is circular in cross section and terminates with an ancient break 5mm above the hoop of the ring. The object has a reddish brown patina and is corroded in places.

The two artefacts; finger ring and pipe tamper, were often combined in the 17th century, as gentlemen would apparently often loose their pipe tamper having had too much to drink. With such an artefact the user could wear his ring and conceal the tamper until needed (SUSS-373EA5).

For a similar example recorded on the database see Bloom, C (2013) SWYOR-D0A4F1 A POST MEDIEVAL PIPE TAMPER Webpage available at: http://finds.org.uk/database/artefacts/record/id/544982. A more complete example from Cheshire is LVPL-A563A1, https://finds.org.uk/database/artefacts/record/id/598473.

Dimensions: 27mm in length, 23mm in width, 10mm thick (at bezel), 4.0g.",,,Cheshire East,,,,1600,,https://finds.org.uk/images/voakden/medium/LVPL3BD0872.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b5),CLAY PIPE (SMOKING),POST MEDIEVAL,"A post medieval clay tobacco pipe dating to the period c AD1680 to 1720. Most of the bowl is missing but the heel is stamped with the makers mark: WILL/ PITCH/ER in three lines within a pellet circle. The stem is broken at an old break. The pipe measures 51.3mm in length, 14.7 in width and weighs 6.37g.

William Pitcher is listed as a maker from Beaminster in Dorset active c.1700 (Oswald 1975 p167).",,,South Somerset,South Petherton,50.94061046,-2.81263629,1680,,https://finds.org.uk/images/elburnett/medium/SOM164518.JPG,Gardening,Returned to finder
ObjectId(57da611885c5eb0da62cb3b6),COIN,IRON AGE,"A complete but worn Iron Age copper-alloy unit of Tasciovanus, dating to the period 25 BC - AD 10. 'Dias Centaur' type; ABC 2748, BMC 1728-1735, VA 1882.1.",,,South Oxfordshire,Benson,51.61453193,-1.12040301,-25,,https://finds.org.uk/images/abyard/medium/oxpas2016346.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b7),PLAQUE,POST MEDIEVAL,"A lead or lead alloy brothel token or plaque of the Post Medieval period, dating from c. AD 1700 - c. AD 1900.

It is a flat, rectangular token with a raised border and depicts two naked figures performing a sexual act.

The scene shows a tree or cave wall emerging from the ground on the right-hand side of the scene. The canopy at the top is present but the detail isn't clear. Standing on the ground and beneath the canopy area, a male and female figure are depicted engaged in sexual intercourse. The female's buttocks are pressed against the tree/cave side, and she is supporting her weight on her right leg while the left leg is raised and supported by the cradling arm of the male. Her upper torso is leaning forward, kissing the male and her arms appear to be wrapped around either the upper torso of the male or at his neck and shoulders. The male stands on both feet, the right leg bent slightly back, his arm cradling the woman's left leg as his phallus penetrates the woman. The whole scene is surrounded by a rectangular border. The reverse is undecorated. The top right and bottom left corners have been bent towards the reverse of the object giving it a convex appearance. 

The object measures 50.3 mm in length and is 37.7 mm wide. It has a thickness of 4.7 mm and weighs 72.9 g.

The object is a mid grey in colour and has an even patina. Abrasion caused by movement whilst within the plough soil has resulted in the loss of some of the original surface detail.

The bawdy or erotic scene depicted can be found on pipe tampers such as WMID-786656, NCL-739535, SF-EE2934, SUR-9657B6 and WILT-FE9706. Examples of plaques of this type can also be found on the database: LVPL-1533AC and WMID-FA7F30.

If not a scene portraying rustic romance, it may be depicting the consummation of Aeneas and Dido in the cave during a hunt while caught in a storm. The background scene may be a cave or a forest, the cave being the actual location of the consummation, the forest alluding to the hunt during which the episode took place. If the latter, this would place the pipe tamper in both the classicizing examples of such objects, as well as the bawdy.",,,Staffordshire Moorlands,Horton,53.12810372,-2.12101125,1700,,https://finds.org.uk/images/hglenn/medium/WMIDEF2E08.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b8),TAP,MODERN,"An incomplete and damaged post-medieval cast copper-alloy tap, c.1750-1850. T-shaped handle missing. The handle and stem would have turned within the cylindrical socket (now damaged), opening and closing a valve to allow the liquid to flow through an opening in the stem to the spout. The tap has a circular-sectioned spigot (the pipe that brings liquid to the tap) which tapers towards the end, perhaps for fitting into a barrel. The spout is circular in section and curves downwards to allow the flow of liquid. Above this there would have been a small squared protrusion, which is believed to have been the focus of the hammer striking the tap into a barrel - this is now missing and only the lower moulding survives. The maker's mark which would have been above the protrusion is missing, but could have been, TURNER &amp; Co.(the O being smaller and superscript with a dot beneath). This is the maker's mark of a virtually identical tap recorded as LANCUM-BBCC83.

Similar items are published in Bailey (1995, 60-63) and all date to the 18th-19th century. The length is 65mm, the width is 63mm and the weight 74.87g.

Reference: Bailey, G. 1995. Detector Finds 2. Chelmsford: Greenlight publishing.


NB: The object was not seen by the FLO in person. Images and findspot information were kindly provided by the rally organiser.",,,North Norfolk,,,,1750,,https://finds.org.uk/images/dboughton/medium/6CC5A8b.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3b9),PIPE TAMPER,POST MEDIEVAL,"A complete copper alloy post medieval to modern pipe tamper, dating to the period c.AD 1650-1800. The tamper is in the form of a three dimensional bird, with its neck and head outstreched so that they are on a horizontal alignment with the top of the body and the tail. The outline of the wings on its body is depicted through an incised groove. The bird has no feet, instead the body narrows to the oval cross-sectioned stem. This stem has a narrowed collar, under which is a bulbous moulding which narrows before expanding out at its base. The object is quite worn but pitted decoration on the body to denote feathers can just be discerned. A dark green patina is on the surface.

The pipe tamper measures 25.35mm in length, 37.27mm in width, 8.45mm in thickness and weighs 11.44g.

Cf. BH-517AC7 and BH-48C5B7 on the database",,,Harrogate,Cundall with Leckby,54.16017935,-1.3736171,1650,,https://finds.org.uk/images/denisewilding/medium/YORYM5C66B1.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3ba),KEY (LOCKING),ROMAN,"An incomplete cast copper alloy key handle of probable Roman date. The key handle has been heavily cast; a thick triple collar sits above the rectangular shaft for the iron key bit (now missing). On the other side of the collar is a decorative openwork handle in the form of an oval (now distorted) with curled, rounded terminals within. On the outer edge of the loop is a round-sectioned shank that does not appear to fulfil a function and is probably just decorative. Although no parallels could be located, an object recorded on this database (NMS-F0CBC6) is of very similar form and is also suggested to be a Roman key handle. General Roman date of c. AD 43-409. A pipe tamper is another possibility for this object, however no related examples could be identified and a key handle seems most likely.",,,Cotswold,Condicote,51.9502936,-1.78315865,43,,https://finds.org.uk/images/abyard/medium/oxpas2016330.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3bb),KEY (LOCKING),MEDIEVAL,"An incomplete, C13-15th, Medieval, cast, copper alloy, small casket type key. Broken half only of a once circular bow handle, hollow oval cross-section stem and a pipe end, plain bit. It is possible that the stem was cylindrical but squashed partially flat by agriculatural machinary or similar when the bow handle was probably distorted and broken off. Dark green slightly irregular or pitted by corrosion surface patina. Ref. Keys - Their History &amp; Collection, Eric Monk, Shire Publications 1979, page 44, History Beneath Our Feet, Brian Read, Anglia Publishing Ipswich 1995, page 86-87 No. 526 and Detector Finds 3, Gordon Bailey, Greenlight Publishing 1997, page 4-9 No. 3, 4, 8 or 10. The key is likely to date to 1200-1499. The key is Truncated length 30.89mm, Truncated width 14.08mm, 4.11mm thick and weighs 3.2g.",,,Wealden,Forest Row,51.09673167,0.02653977,1200,,https://finds.org.uk/images/gburr/medium/IMG_2091a.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3bc),KEY (LOCKING),MEDIEVAL,"A medieval copper alloy rotary key probably dating from AD 1300 - 1500. The bow is lozenge shaped. There is a wide swollen collar next to the bow. The stem is oval in cross section and hollow (a pipe key). It is broken at the bit end. The bit is rectangular. It has two short clefts in the leading edge, and two matching clefts in the rear edge. A long cleft in the outer edge (furthest from the stem) divides the bit in half. The outer edge is also thickened and has a groove in the edge. Ther are also two much shorter clefts in the outer edge, one in each half. The key is 97.2mm long, 30.8mm wide and 9.7mm thick. 45.2g.

In the Museum of London's ""Medieval Catalogue"" (1940, p133-144), Ward Perkins has introduced a classification system for door and chest keys. The key described in this record is most closely related to his Type VI, but the stem differs in that it appears to be hollow for the whole length. Ward Perkins describes the type: ""They are characterized by the solid shank, bored at the end to leave a conical hole, by the massive bit, and by the elaborate form of the bow. The latter may be lobed or lozenge-shaped or a combination of both, and occasionally the corners of the lozenge are elaborated"" (p140). Ward Perkins dates a number of closely related copper alloy keys of Type VI to the 14th and 15th centuries, and this may be an appropriate date range for this key. Parallels can also be seen in Ottaway and Rogers (2002) Finds from Medieval York. York Archaeological Trust: York.",,,Bassetlaw,Lound,53.36650313,-0.97954733,1300,,https://finds.org.uk/images/acooper/medium/PAS_2882_key.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3bd),PIPE (SMOKING),POST MEDIEVAL,"David Higgins reports ""A complete pipe bowl with 74mm of surviving stem (2 7/8"") and a stem bore of 8/64"" was found on the beach at Haverigg, to the south-west side of the Lake District in Cumbria. The whole fragment has been very abraded by wave action so that all of the original external surface has been lost. It is possible, however, to make out traces of a band of milling at the bowl rim and it is possible that the faint 'shadow' of a circular maker's mark survives on the heel, but this is now completely illegible. Discolouration inside the bowl shows that the pipe has been smoked. The white fabric of which it is made is quite fine, with the only inclusions visible under a 10x lens being sparse rounded grains of what appears to be quartz (sand). The bowl form (Merseyside Type H7/H8 of c1640-1670; cf Higgins 2008, 147) is characteristic of the south Lancashire industry, which was centred on Rainford, about 12 miles to the north-east of Liverpool, and this is the likely origin of the pipe. Seventeenth century Rainford pipes were extensively traded across the areas now occupied by Merseyside, Greater Manchester and Lancashire and as far north into Cumbria as the southern Lakes. Although quite a long stem section survives, this only represents a proportion of the original pipe, with contemporary examples having stems ranging from around 6½"" to 12½"" in length (165-315mm; Higgins 1987, 64).""",,,Copeland,,,,1640,,https://finds.org.uk/images/Susie White/medium/LVPLA1A2D7a.jpg,Chance find during metal detecting,Returned to finder
ObjectId(57da611885c5eb0da62cb3be),PIPE TAMPER,POST MEDIEVAL,"A cast copper alloy pipe tamper of post-medieval date (c. AD 1650 - 1850). The pipe taper is in the form of a sleeved arm and hand possibly holding a hammer, poised ready for use. The hammer has an old break at each end. The arm also terminates in an old break. There is a casting seam running along the length of the object on two sides.



It measures 51.75mm in length, 29.88mm in width at the top, 11.45mm in thickness and weighs 28.08g.



A similar, complete example is recorded on the database as: SOMDOR-B383F7",,,Taunton Deane,,,,1650,,https://finds.org.uk/images/jshoemark3/medium/SOM0D0144.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3bf),PIPE (SMOKING),POST MEDIEVAL,"A fragment of a clay pipe, dating AD 1800-1850. All that remains is the ribbed/fluted bowl with part of the stem. The letters I and P on either side of the base, indicating the maker. The object has been stained brown due to having been in the Thames mud, but would have originally been white. 

The initials on the base might suggest a maker called James P---. This fluted type of pipe tends to date to the early 19th century. 

Dimensions: length: 27.03 mm; width: 14.11; height: 20.41 mm; weight: 2.99g",,,City and County of the City of London,Queenhithe,51.5035277,-0.09955492,1800,,https://finds.org.uk/images/bpaites/medium/ESSCF1055PIpipe.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3c0),PIPE (SMOKING),POST MEDIEVAL,"An incomplete moulded clay tobacco pipe bowl of Post Medieval dating, circa 17th Century.

The pipe fragment consists of a complete bowl with an incomplete stem. The rim of the bowl is still intact. The back of the bowl has been stamped with an 'RG' mark with three small pellets in light relief below. Another stamp is located on the base of the heel although this has been worn and is difficult to distinguish. There are possibly additional initials, although all that is clear are four small pellets below. The pipe is decorated with a horizontal rouletted line running approximately parallel to the rim edge. The pattern is uneven as it curves around the bowl. The clay tobacco pipe has been moulded from a white pipeclay. The surface is uneven and pitted.

The rouletting decoration can be seen on another example recorded by the PAS from the West Midlands (WMID-0A73F6). The bowl is similar to an Oswald type 5 (Oswald, 1975, 37), which typically dates from c. AD 1640-1660 with the expanded bowl and flat base and rouletted rim. 

The clay pipe measures 25.16mm high, 18.1mm wide, 44.63mm long, with a maximum diameter of 15.56mm. The wall of the clay pipe bowl is 2.53mm thick. It weighs 7.9 grams.

Oswald, A. 1975 Clay Pipes for the Archaeologist. British Archaeological Reports 14, Oxford.",,,Shropshire,Loppington,52.85587023,-2.78855179,1640,,https://finds.org.uk/images/vallnatt/medium/WMIDCE9300.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3c1),ROTARY KEY,MEDIEVAL,"A complete medieval cast copper alloy rotary key, probably dating from at least the late 12th century to the late 14th century. Features: hollow shank, circular bow and a single cleft bit. Ward Perkins (1940, p. 144) considered that a hollow shank (or pipe) up to 1½ inches (c.40mm) long was usually indicative of a casket or chest key. A similar example is present within Egan, G (1998, no. 294).

Diameter: 36mm.

Reference: Egan, G. (1998) The medieval household: medieval finds from excavations in London. London: The Stationary Office.

Ward-Perkins, J. B. 1940. London Museum Medieval Catalogue. London: HMSO",,,Chelmsford,Great Waltham,51.79012695,0.4490007,1100,,https://finds.org.uk/images/jmillaa/medium/036A0004.jpg,Metal detector,Donated to a museum
ObjectId(57da611885c5eb0da62cb3c2),VESSEL,MEDIEVAL,"A fragment of hand thrown, ceramic Medieval vessel, dating 1350-1550. The sherd is from the vessel body, which was thick 10.2mm thick and probably a plate.

The fabric has not been identified. It is hard and heavily oxidised, and is mid orange red in colour. There are sparse angular white grit inclusions. The surface texture is gritty/rough. The veseel is green glazed over a pipe clay white design. The surface on one side is mostly lost from abrasion.

The sherd is 41mm by 31mm, it weighs 10.4g",,,County of Herefordshire,,,,1350,,https://finds.org.uk/images/PatrickBrown/medium/PUBLICD7CD9F.jpg,Metal detector,Returned to finder
